Temperature,Jsc 2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3,Jsc4,Voc4,FF4,Hysteresis4,PCE4
20,0.99503,0.995,0.99056,0.99021,1.00343,1.00324,1.0031,1.01545,1.01535,0.99498,0.99044,1.00317,1.01581,0.98899
20,0.995,0.99498,0.99021,0.99044,1.00324,1.0031,1.00317,1.01535,1.01581,0.99494,0.99009,1.00302,1.01572,0.98887
20,0.99498,0.99494,0.99044,0.99009,1.0031,1.00317,1.00302,1.01581,1.01572,0.99492,0.99026,1.00308,1.01611,0.98874
20,0.99494,0.99492,0.99009,0.99026,1.00317,1.00302,1.00308,1.01572,1.01611,0.99487,0.98991,1.0029,1.016,0.98862
20,0.99492,0.99487,0.99026,0.98991,1.00302,1.00308,1.0029,1.01611,1.016,0.99485,0.99013,1.00294,1.01644,0.98851
20,0.99487,0.99485,0.98991,0.99013,1.00308,1.0029,1.00294,1.016,1.01644,0.99483,0.99004,1.00283,1.01656,0.9884
20,0.99485,0.99483,0.99013,0.99004,1.0029,1.00294,1.00283,1.01644,1.01656,0.99482,0.99031,1.00288,1.01701,0.98829
20,0.99483,0.99482,0.99004,0.99031,1.00294,1.00283,1.00288,1.01656,1.01701,0.9948,0.99055,1.00293,1.01742,0.98819
20,0.99482,0.9948,0.99031,0.99055,1.00283,1.00288,1.00293,1.01701,1.01742,0.99477,0.99077,1.00296,1.01779,0.9881
20,0.9948,0.99477,0.99055,0.99077,1.00288,1.00293,1.00296,1.01742,1.01779,0.99474,0.99041,1.00275,1.01757,0.98801
20,0.99477,0.99474,0.99077,0.99041,1.00293,1.00296,1.00275,1.01779,1.01757,0.99472,0.99032,1.00265,1.01761,0.98792
20,0.99474,0.99472,0.99041,0.99032,1.00296,1.00275,1.00265,1.01757,1.01761,0.99469,0.99051,1.00271,1.01796,0.98784
20,0.99472,0.99469,0.99032,0.99051,1.00275,1.00265,1.00271,1.01761,1.01796,0.99465,0.99013,1.0025,1.01773,0.98776
20,0.99469,0.99465,0.99051,0.99013,1.00265,1.00271,1.0025,1.01796,1.01773,0.99462,0.99003,1.00241,1.01778,0.98768
20,0.99465,0.99462,0.99013,0.99003,1.00271,1.0025,1.00241,1.01773,1.01778,0.9946,0.98996,1.00233,1.01784,0.98761
20,0.99462,0.9946,0.99003,0.98996,1.0025,1.00241,1.00233,1.01778,1.01784,0.99459,0.99017,1.00236,1.01815,0.98753
20,0.9946,0.99459,0.98996,0.99017,1.00241,1.00233,1.00236,1.01784,1.01815,0.99459,0.99035,1.00237,1.01843,0.98746
20,0.99459,0.99459,0.99017,0.99035,1.00233,1.00236,1.00237,1.01815,1.01843,0.99459,0.99057,1.00243,1.01877,0.98739
20,0.99459,0.99459,0.99035,0.99057,1.00236,1.00237,1.00243,1.01843,1.01877,0.99457,0.99075,1.00245,1.01905,0.98732
20,0.99459,0.99457,0.99057,0.99075,1.00237,1.00243,1.00245,1.01877,1.01905,0.99455,0.99065,1.00239,1.01904,0.98725
20,0.99457,0.99455,0.99075,0.99065,1.00243,1.00245,1.00239,1.01905,1.01904,0.99455,0.99084,1.00247,1.01933,0.98718
20,0.99455,0.99455,0.99065,0.99084,1.00245,1.00239,1.00247,1.01904,1.01933,0.99455,0.99103,1.00252,1.01959,0.98711
20,0.99455,0.99455,0.99084,0.99103,1.00239,1.00247,1.00252,1.01933,1.01959,0.99452,0.9909,1.00248,1.01961,0.98704
20,0.99455,0.99452,0.99103,0.9909,1.00247,1.00252,1.00248,1.01959,1.01961,0.9945,0.99075,1.00243,1.01958,0.98698
20,0.99452,0.9945,0.9909,0.99075,1.00252,1.00248,1.00243,1.01961,1.01958,0.99448,0.99058,1.00237,1.01952,0.98691
20,0.9945,0.99448,0.99075,0.99058,1.00248,1.00243,1.00237,1.01958,1.01952,0.99446,0.99058,1.00237,1.01958,0.98685
20,0.99448,0.99446,0.99058,0.99058,1.00243,1.00237,1.00237,1.01952,1.01958,0.99444,0.99035,1.00231,1.01948,0.98679
20,0.99446,0.99444,0.99058,0.99035,1.00237,1.00237,1.00231,1.01958,1.01948,0.99443,0.99037,1.00232,1.01954,0.98673
20,0.99444,0.99443,0.99035,0.99037,1.00237,1.00231,1.00232,1.01948,1.01954,0.9944,0.9899,1.00218,1.0192,0.98668
