Temperature,Jsc2,Jsc3,Voc2,Voc3,FF1,FF2,FF3,Hysteresis2,Hysteresis3
95,1.00298,1.00389,0.99936,0.99943,1,0.99112,0.9915,0.99616,0.99691
95,1.00389,1.00478,0.99943,0.99949,0.99112,0.9915,0.9951,0.99691,0.99766
95,1.00478,1.00566,0.99949,0.99955,0.9915,0.9951,0.99861,0.99766,0.9984
95,1.00566,1.00653,0.99955,0.99961,0.9951,0.99861,1.0013,0.9984,0.99913
95,1.00653,1.00738,0.99961,0.99967,0.99861,1.0013,1.0034,0.99913,0.99986
95,1.00738,1.00821,0.99967,0.99973,1.0013,1.0034,1.00548,0.99986,1.00058
95,1.00821,1.00903,0.99973,0.99978,1.0034,1.00548,1.00705,1.00058,1.00129
95,1.00903,1.00983,0.99978,0.99984,1.00548,1.00705,1.00861,1.00129,1.002
95,1.00983,1.01061,0.99984,0.9999,1.00705,1.00861,1.01016,1.002,1.00269
95,1.01061,1.01138,0.9999,0.99995,1.00861,1.01016,1.01131,1.00269,1.00338
95,1.01138,1.01214,0.99995,1,1.01016,1.01131,1.01229,1.00338,1.00407
95,1.01214,1.01288,1,1.00005,1.01131,1.01229,1.01333,1.00407,1.00474
95,1.01288,1.0136,1.00005,1.0001,1.01229,1.01333,1.01413,1.00474,1.00541
95,1.0136,1.01431,1.0001,1.00015,1.01333,1.01413,1.01533,1.00541,1.00607
95,1.01431,1.015,1.00015,1.0002,1.01413,1.01533,1.01666,1.00607,1.00673
95,1.015,1.01567,1.0002,1.00025,1.01533,1.01666,1.01792,1.00673,1.00738
95,1.01567,1.01634,1.00025,1.0003,1.01666,1.01792,1.0175,1.00738,1.00802
95,1.01634,1.01698,1.0003,1.00034,1.01792,1.0175,1.0183,1.00802,1.00865
95,1.01698,1.01761,1.00034,1.00039,1.0175,1.0183,1.01953,1.00865,1.00927
95,1.01761,1.01822,1.00039,1.00043,1.0183,1.01953,1.02063,1.00927,1.00989
95,1.01822,1.01882,1.00043,1.00047,1.01953,1.02063,1.02166,1.00989,1.0105
95,1.01882,1.0194,1.00047,1.00051,1.02063,1.02166,1.02265,1.0105,1.01111
95,1.0194,1.01997,1.00051,1.00055,1.02166,1.02265,1.02361,1.01111,1.01171
95,1.01997,1.02052,1.00055,1.00059,1.02265,1.02361,1.02456,1.01171,1.0123
95,1.02052,1.02106,1.00059,1.00063,1.02361,1.02456,1.02547,1.0123,1.01288
95,1.02106,1.02158,1.00063,1.00067,1.02456,1.02547,1.02637,1.01288,1.01346
95,1.02158,1.02208,1.00067,1.0007,1.02547,1.02637,1.02723,1.01346,1.01402
95,1.02208,1.02257,1.0007,1.00074,1.02637,1.02723,1.02808,1.01402,1.01459
95,1.02257,1.02304,1.00074,1.00077,1.02723,1.02808,1.02886,1.01459,1.01514
95,1.02304,1.0235,1.00077,1.00081,1.02808,1.02886,1.02901,1.01514,1.01569
95,1.0235,1.02394,1.00081,1.00084,1.02886,1.02901,1.02965,1.01569,1.01623
95,1.02394,1.02437,1.00084,1.00087,1.02901,1.02965,1.02982,1.01623,1.01676
95,1.02437,1.02478,1.00087,1.0009,1.02965,1.02982,1.03034,1.01676,1.01729
95,1.02478,1.02517,1.0009,1.00093,1.02982,1.03034,1.03099,1.01729,1.0178
95,1.02517,1.02555,1.00093,1.00096,1.03034,1.03099,1.03169,1.0178,1.01832
95,1.02555,1.02591,1.00096,1.00098,1.03099,1.03169,1.03213,1.01832,1.01882
95,1.02591,1.02626,1.00098,1.00101,1.03169,1.03213,1.03272,1.01882,1.01932
95,1.02626,1.02659,1.00101,1.00103,1.03213,1.03272,1.03315,1.01932,1.01981
95,1.02659,1.02691,1.00103,1.00106,1.03272,1.03315,1.03377,1.01981,1.02029
95,1.02691,1.02721,1.00106,1.00108,1.03315,1.03377,1.03432,1.02029,1.02077
95,1.02721,1.0275,1.00108,1.0011,1.03377,1.03432,1.03451,1.02077,1.02123
95,1.0275,1.02776,1.0011,1.00112,1.03432,1.03451,1.03462,1.02123,1.0217
95,1.02776,1.02802,1.00112,1.00114,1.03451,1.03462,1.0352,1.0217,1.02215
95,1.02802,1.02826,1.00114,1.00116,1.03462,1.0352,1.03525,1.02215,1.0226
95,1.02826,1.02848,1.00116,1.00118,1.0352,1.03525,1.03572,1.0226,1.02304
95,1.02848,1.02869,1.00118,1.00119,1.03525,1.03572,1.03622,1.02304,1.02347
95,1.02869,1.02888,1.00119,1.00121,1.03572,1.03622,1.0367,1.02347,1.02389
95,1.02888,1.02695,1.00121,1.00087,1.03622,1.0367,1.03795,1.02389,1.02367
95,1.02695,1.02646,1.00087,1.00081,1.0367,1.03795,1.03845,1.02367,1.02439
95,1.02646,1.02623,1.00081,1.00079,1.03795,1.03845,1.039,1.02439,1.0248
95,1.02623,1.02617,1.00079,1.00079,1.03845,1.039,1.0395,1.0248,1.02522
95,1.02617,1.02621,1.00079,1.00082,1.039,1.0395,1.03979,1.02522,1.02567
95,1.02621,1.02624,1.00082,1.00081,1.0395,1.03979,1.04035,1.02567,1.02598
95,1.02624,1.0263,1.00081,1.00083,1.03979,1.04035,1.0408,1.02598,1.02646
95,1.0263,1.02639,1.00083,1.00083,1.04035,1.0408,1.04132,1.02646,1.02685
95,1.02639,1.02612,1.00083,1.00072,1.0408,1.04132,1.04215,1.02685,1.02681
95,1.02612,1.02604,1.00072,1.00071,1.04132,1.04215,1.04265,1.02681,1.02708
95,1.02604,1.02601,1.00071,1.00071,1.04215,1.04265,1.04314,1.02708,1.02735
95,1.02601,1.02597,1.00071,1.00071,1.04265,1.04314,1.04358,1.02735,1.0276
95,1.02597,1.02595,1.00071,1.00066,1.04314,1.04358,1.04395,1.0276,1.0279
95,1.02595,1.02595,1.00066,1.00068,1.04358,1.04395,1.04438,1.0279,1.02819
95,1.02595,1.02593,1.00068,1.00069,1.04395,1.04438,1.04477,1.02819,1.02847
95,1.02593,1.02591,1.00069,1.00072,1.04438,1.04477,1.04516,1.02847,1.02875
95,1.02591,1.02591,1.00072,1.00074,1.04477,1.04516,1.04559,1.02875,1.029
95,1.02591,1.02589,1.00074,1.00076,1.04516,1.04559,1.04599,1.029,1.02925
95,1.02589,1.0259,1.00076,1.00079,1.04559,1.04599,1.04628,1.02925,1.02964
95,1.0259,1.02589,1.00079,1.00081,1.04599,1.04628,1.04667,1.02964,1.02994
95,1.02589,1.02593,1.00081,1.00088,1.04628,1.04667,1.04682,1.02994,1.03014
95,1.02593,1.02592,1.00088,1.0009,1.04667,1.04682,1.04711,1.03014,1.03046
95,1.02592,1.02592,1.0009,1.00095,1.04682,1.04711,1.04738,1.03046,1.0307
95,1.02592,1.02593,1.00095,1.00098,1.04711,1.04738,1.04768,1.0307,1.03092
95,1.02593,1.02591,1.00098,1.001,1.04738,1.04768,1.048,1.03092,1.03115
95,1.02591,1.02591,1.001,1.00102,1.04768,1.048,1.04833,1.03115,1.03146
95,1.02591,1.02592,1.00102,1.00105,1.048,1.04833,1.04866,1.03146,1.03158
95,1.02592,1.02591,1.00105,1.00106,1.04833,1.04866,1.04904,1.03158,1.03175
95,1.02591,1.02593,1.00106,1.00109,1.04866,1.04904,1.04935,1.03175,1.03195
95,1.02593,1.02589,1.00109,1.00111,1.04904,1.04935,1.0496,1.03195,1.03215
95,1.02589,1.02585,1.00111,1.00112,1.04935,1.0496,1.04997,1.03215,1.03254
95,1.02585,1.02582,1.00112,1.00112,1.0496,1.04997,1.05037,1.03254,1.03275
95,1.02582,1.02578,1.00112,1.00114,1.04997,1.05037,1.05068,1.03275,1.03297
95,1.02578,1.02576,1.00114,1.00116,1.05037,1.05068,1.05088,1.03297,1.0332
95,1.02576,1.02573,1.00116,1.00119,1.05068,1.05088,1.05114,1.0332,1.03331
95,1.02573,1.02574,1.00119,1.00121,1.05088,1.05114,1.05136,1.03331,1.03354
