Jsc4,Voc4,FF4,Hysteresis4,PCE4
1.00053,1.00412,1.00414,1.005,1.0103
1.0008,1.00415,1.00418,1.00482,1.01033
1.0006,1.00417,1.00422,1.0045,1.01036
1.00135,1.00418,1.00425,1.00426,1.01037
1.00097,1.00422,1.00429,1.00411,1.01048
1.0009,1.00426,1.00432,1.00387,1.01064
1.00131,1.0043,1.00436,1.00368,1.01073
1.00082,1.0043,1.00439,1.00341,1.01093
1.00097,1.00433,1.00442,1.00314,1.01114
1.00034,1.00434,1.00445,1.00291,1.01093
1.00055,1.00437,1.00448,1.00266,1.01086
1.00104,1.0044,1.00451,1.00246,1.01089
1.00073,1.00442,1.00454,1.0022,1.01093
1.00079,1.00446,1.00457,1.00195,1.01101
1.0006,1.00449,1.00459,1.00167,1.011
1.00115,1.00451,1.00462,1.00142,1.01101
1.00079,1.00454,1.00464,1.00118,1.01106
1.00089,1.00458,1.00466,1.00099,1.01113
1.00096,1.0046,1.00468,1.00078,1.01119
1.00071,1.00461,1.0047,1.0006,1.0112
1.00087,1.00465,1.00472,1.00044,1.01128
1.0011,1.00467,1.00473,1.0002,1.01134
1.00152,1.00466,1.00475,0.99999,1.01128
1.00186,1.00467,1.00476,0.99979,1.01125
1.00134,1.00468,1.00477,0.99977,1.01126
1.00158,1.00472,1.00478,0.99952,1.01139
1.00152,1.00475,1.00479,0.9993,1.01146
1.00156,1.00474,1.0048,0.99913,1.01144
1.00128,1.00478,1.0048,0.99886,1.01152
1.00153,1.0048,1.00481,0.99868,1.01155
1.00128,1.00481,1.00481,0.99857,1.01159
1.00167,1.00482,1.00481,0.99835,1.01163
1.00183,1.0048,1.00481,0.99816,1.01154
1.00141,1.00482,1.00481,0.99789,1.01158
1.00182,1.00482,1.00481,0.99763,1.01162
1.00154,1.00484,1.00481,0.99744,1.01165
1.00134,1.00485,1.0048,0.99723,1.01172
1.00167,1.00482,1.0048,0.99699,1.01151
1.00122,1.00482,1.00479,0.99678,1.01146
1.00175,1.0048,1.00478,0.99661,1.01138
1.00107,1.00481,1.00478,0.99632,1.01126
1.00107,1.00479,1.00477,0.99615,1.01115
1.00107,1.00479,1.00476,0.99585,1.0112
1.00116,1.0048,1.00474,0.99561,1.01119
1.00126,1.00481,1.00473,0.99546,1.0112
1.00113,1.00483,1.00472,0.99527,1.01124
1.00182,1.00484,1.00471,0.99511,1.01125
1.00199,1.00487,1.00469,0.99496,1.01131
1.00171,1.00487,1.00468,0.99485,1.01132
1.00109,1.00488,1.00466,0.99489,1.01133
1.00187,1.00488,1.00464,0.99464,1.01132
1.0017,1.00488,1.00463,0.99449,1.01132
1.00121,1.00487,1.00461,0.9943,1.01132
1.0015,1.0049,1.00459,0.99404,1.01139
1.00193,1.00491,1.00457,0.99383,1.01146
1.00185,1.00493,1.00455,0.99364,1.01146
1.00172,1.00495,1.00453,0.99339,1.01145
1.00213,1.00497,1.00451,0.99313,1.01147
1.0017,1.005,1.00449,0.99295,1.01151
1.00232,1.00499,1.00447,0.99264,1.01148
1.00249,1.00502,1.00445,0.99235,1.01155
1.00221,1.00503,1.00443,0.99214,1.01162
