Jsc4,Voc4,FF4,Hysteresis4,PCE4
1.00478,0.99949,0.9951,0.99766,1.00493
1.00566,0.99955,0.99861,0.9984,1.00729
1.00653,0.99961,1.0013,0.99913,1.00961
1.00738,0.99967,1.0034,0.99986,1.01189
1.00821,0.99973,1.00548,1.00058,1.01414
1.00903,0.99978,1.00705,1.00129,1.01635
1.00983,0.99984,1.00861,1.002,1.01853
1.01061,0.9999,1.01016,1.00269,1.02067
1.01138,0.99995,1.01131,1.00338,1.02278
1.01214,1,1.01229,1.00407,1.02485
1.01288,1.00005,1.01333,1.00474,1.02689
1.0136,1.0001,1.01413,1.00541,1.02889
1.01431,1.00015,1.01533,1.00607,1.03086
1.015,1.0002,1.01666,1.00673,1.03279
1.01567,1.00025,1.01792,1.00738,1.03468
1.01634,1.0003,1.0175,1.00802,1.03654
1.01698,1.00034,1.0183,1.00865,1.03837
1.01761,1.00039,1.01953,1.00927,1.04015
1.01822,1.00043,1.02063,1.00989,1.04191
1.01882,1.00047,1.02166,1.0105,1.04363
1.0194,1.00051,1.02265,1.01111,1.04531
1.01997,1.00055,1.02361,1.01171,1.04696
1.02052,1.00059,1.02456,1.0123,1.04857
1.02106,1.00063,1.02547,1.01288,1.05015
1.02158,1.00067,1.02637,1.01346,1.05169
1.02208,1.0007,1.02723,1.01402,1.05319
1.02257,1.00074,1.02808,1.01459,1.05466
1.02304,1.00077,1.02886,1.01514,1.0561
1.0235,1.00081,1.02901,1.01569,1.0575
1.02394,1.00084,1.02965,1.01623,1.05886
1.02437,1.00087,1.02982,1.01676,1.06019
1.02478,1.0009,1.03034,1.01729,1.06149
1.02517,1.00093,1.03099,1.0178,1.06275
1.02555,1.00096,1.03169,1.01832,1.06397
1.02591,1.00098,1.03213,1.01882,1.06516
1.02626,1.00101,1.03272,1.01932,1.06631
1.02659,1.00103,1.03315,1.01981,1.06743
1.02691,1.00106,1.03377,1.02029,1.06851
1.02721,1.00108,1.03432,1.02077,1.06955
1.0275,1.0011,1.03451,1.02123,1.07056
1.02776,1.00112,1.03462,1.0217,1.07154
1.02802,1.00114,1.0352,1.02215,1.07248
1.02826,1.00116,1.03525,1.0226,1.07338
1.02848,1.00118,1.03572,1.02304,1.07425
1.02869,1.00119,1.03622,1.02347,1.07509
1.02888,1.00121,1.0367,1.02389,1.07589
1.02695,1.00087,1.03795,1.02367,1.07333
1.02646,1.00081,1.03845,1.02439,1.07333
1.02623,1.00079,1.039,1.0248,1.07348
1.02617,1.00079,1.0395,1.02522,1.07385
1.02621,1.00082,1.03979,1.02567,1.07463
1.02624,1.00081,1.04035,1.02598,1.07492
1.0263,1.00083,1.0408,1.02646,1.07539
1.02639,1.00083,1.04132,1.02685,1.07577
1.02612,1.00072,1.04215,1.02681,1.07515
1.02604,1.00071,1.04265,1.02708,1.07527
1.02601,1.00071,1.04314,1.02735,1.07548
1.02597,1.00071,1.04358,1.0276,1.07571
1.02595,1.00066,1.04395,1.0279,1.07601
1.02595,1.00068,1.04438,1.02819,1.07629
1.02593,1.00069,1.04477,1.02847,1.0766
1.02591,1.00072,1.04516,1.02875,1.0769
1.02591,1.00074,1.04559,1.029,1.07714
1.02589,1.00076,1.04599,1.02925,1.0774
1.0259,1.00079,1.04628,1.02964,1.07785
1.02589,1.00081,1.04667,1.02994,1.07808
1.02593,1.00088,1.04682,1.03014,1.07876
1.02592,1.0009,1.04711,1.03046,1.07909
1.02592,1.00095,1.04738,1.0307,1.07945
1.02593,1.00098,1.04768,1.03092,1.07976
1.02591,1.001,1.048,1.03115,1.07996
1.02591,1.00102,1.04833,1.03146,1.08018
1.02592,1.00105,1.04866,1.03158,1.08038
1.02591,1.00106,1.04904,1.03175,1.08045
1.02593,1.00109,1.04935,1.03195,1.08065
1.02589,1.00111,1.0496,1.03215,1.08087
1.02585,1.00112,1.04997,1.03254,1.08087
1.02582,1.00112,1.05037,1.03275,1.0808
1.02578,1.00114,1.05068,1.03297,1.08087
1.02576,1.00116,1.05088,1.0332,1.08113
1.02573,1.00119,1.05114,1.03331,1.08125
1.02574,1.00121,1.05136,1.03354,1.08149
1.02572,1.00124,1.05156,1.03376,1.08171
1.02569,1.00126,1.05176,1.03393,1.08192
1.02565,1.00129,1.05192,1.03415,1.08219
1.02558,1.0013,1.05235,1.03388,1.08196
1.02553,1.00129,1.05293,1.03393,1.08146
1.02547,1.0013,1.05324,1.03393,1.08133
1.02542,1.00131,1.05342,1.03406,1.08139
1.02539,1.00133,1.05358,1.03416,1.08151
1.02536,1.00136,1.0537,1.03438,1.08169
1.02531,1.00139,1.05382,1.03451,1.08184
1.02527,1.0014,1.05397,1.03466,1.08196
1.02523,1.00142,1.05411,1.03479,1.08207
1.02518,1.00143,1.05427,1.0349,1.08216
1.02514,1.00145,1.05442,1.03507,1.08226
1.02508,1.00147,1.05456,1.03517,1.08236
1.02504,1.00148,1.05472,1.03526,1.08244
1.02498,1.0015,1.05486,1.03536,1.08255
1.02493,1.00153,1.05496,1.03548,1.08274
1.02487,1.00155,1.05509,1.0356,1.08287
1.02479,1.00156,1.05521,1.03569,1.08298
1.02473,1.00159,1.05532,1.03577,1.08313
1.02466,1.00161,1.0554,1.0359,1.08333
1.02459,1.00163,1.05546,1.03595,1.08356
1.02451,1.00165,1.05554,1.03607,1.08376
1.0244,1.00167,1.05561,1.03622,1.08393
1.02432,1.0017,1.05567,1.03634,1.08415
1.02424,1.00171,1.05573,1.03647,1.08439
1.02417,1.00174,1.0558,1.03658,1.08462
1.02411,1.00175,1.05587,1.0367,1.08485
1.02403,1.00173,1.05632,1.03684,1.08442
1.02394,1.00175,1.05637,1.0372,1.08461
1.02384,1.00175,1.05646,1.03726,1.0847
1.02375,1.00182,1.056,1.03714,1.08567
1.02367,1.00183,1.05621,1.03707,1.0855
1.02356,1.00183,1.05634,1.03733,1.08536
1.02348,1.00181,1.05656,1.03719,1.08509
1.02338,1.00182,1.05655,1.03724,1.08518
1.0233,1.00182,1.05664,1.03722,1.08512
1.02323,1.00192,1.0559,1.03743,1.08638
1.02314,1.00192,1.05587,1.03747,1.0864
1.02306,1.00192,1.05589,1.03753,1.08633
1.02293,1.00189,1.05606,1.03734,1.08596
1.02281,1.00189,1.05608,1.03736,1.08585
1.02268,1.00189,1.05605,1.0373,1.0858
1.02259,1.00188,1.0561,1.03727,1.08568
1.02248,1.00187,1.05626,1.03749,1.08534
1.02237,1.00186,1.05628,1.03757,1.08523
1.02227,1.00186,1.0563,1.03767,1.08516
1.02217,1.00189,1.05625,1.03785,1.0852
1.02206,1.00189,1.05628,1.03789,1.08512
1.02192,1.00187,1.05632,1.03785,1.08497
1.0218,1.00187,1.05633,1.03791,1.08492
1.02164,1.00184,1.05666,1.03766,1.08428
1.02152,1.00181,1.05687,1.03781,1.08384
1.02136,1.00178,1.05707,1.03816,1.08335
1.02122,1.00177,1.05702,1.03819,1.08328
1.0211,1.00173,1.05699,1.0383,1.08317
1.02096,1.00173,1.05694,1.03841,1.08313
1.0208,1.00169,1.05738,1.0387,1.08223
1.02066,1.00166,1.05742,1.03864,1.08195
1.02054,1.00165,1.05737,1.03874,1.08187
1.02045,1.00168,1.05711,1.03912,1.08213
1.0203,1.00166,1.0571,1.03916,1.08194
1.02018,1.00165,1.05709,1.0392,1.08176
1.02008,1.00165,1.05706,1.03928,1.08165
1.01993,1.00163,1.05706,1.03933,1.08144
1.01979,1.00159,1.05731,1.03907,1.08081
1.01971,1.0016,1.05702,1.03908,1.08109
1.01959,1.00157,1.05711,1.03891,1.08067
1.01943,1.00151,1.05736,1.03882,1.07991
1.01931,1.00152,1.0572,1.03912,1.07989
1.0192,1.00149,1.05726,1.03899,1.07949
1.01906,1.00147,1.05723,1.03889,1.0792
1.01897,1.00149,1.057,1.03909,1.07933
1.01886,1.00149,1.05686,1.03882,1.07924
1.01874,1.00151,1.05653,1.03921,1.07945
1.01865,1.00151,1.05637,1.0394,1.07938
1.01849,1.00154,1.05642,1.03926,1.07895
1.01836,1.00153,1.0564,1.03918,1.07862
1.01823,1.00152,1.0564,1.0391,1.07827
1.01812,1.00151,1.05639,1.039,1.07796
1.01801,1.0015,1.05637,1.03897,1.07769
1.01792,1.0015,1.05636,1.03891,1.07743
1.01781,1.00149,1.0564,1.03878,1.07708
1.01771,1.00149,1.05636,1.03871,1.07688
1.01759,1.00144,1.05658,1.03863,1.07619
1.0175,1.00144,1.0566,1.03844,1.07589
1.01741,1.0014,1.05666,1.0384,1.07547
1.0173,1.00139,1.05667,1.03832,1.07515
1.0172,1.00139,1.05668,1.03819,1.07485
1.01709,1.00138,1.05667,1.03811,1.07458
1.01701,1.00136,1.05671,1.03798,1.07426
1.0169,1.00136,1.05669,1.03789,1.07403
1.01678,1.00135,1.05666,1.03782,1.0738
1.01671,1.00136,1.05663,1.03768,1.07364
1.01663,1.00137,1.05657,1.03759,1.07353
1.01653,1.00138,1.05651,1.03748,1.0734
1.01643,1.00139,1.05648,1.03743,1.07324
1.01633,1.00139,1.05651,1.03742,1.07298
1.01623,1.00138,1.05655,1.03736,1.07271
1.01612,1.00139,1.05657,1.03728,1.07249
1.01601,1.0014,1.05655,1.03726,1.07235
1.01592,1.00141,1.05652,1.03718,1.07227
1.01584,1.00143,1.05652,1.0371,1.07215
1.01577,1.00144,1.05654,1.03712,1.07203
1.01568,1.00146,1.05653,1.03716,1.07194
1.0156,1.00147,1.05653,1.0372,1.07184
1.01552,1.0015,1.05649,1.03727,1.07183
1.0154,1.00152,1.05646,1.03738,1.07177
1.01531,1.00154,1.05645,1.03737,1.07171
1.01523,1.00155,1.05647,1.03736,1.07162
1.01514,1.00158,1.05647,1.03734,1.07156
1.01505,1.00161,1.05644,1.03735,1.07157
1.01495,1.00163,1.05641,1.03735,1.07158
1.01482,1.00166,1.05636,1.03733,1.07158
1.01472,1.00168,1.05632,1.03733,1.07163
1.01461,1.00171,1.05625,1.03732,1.07172
1.0145,1.00173,1.05623,1.03738,1.07172
1.01442,1.00175,1.05618,1.03741,1.07182
1.01432,1.00178,1.05612,1.03745,1.07193
1.01423,1.00179,1.05611,1.03749,1.07199
1.01413,1.00181,1.05609,1.03752,1.07204
1.01402,1.00183,1.05608,1.03756,1.0721
1.01392,1.00184,1.05611,1.03767,1.07211
1.01383,1.00186,1.0561,1.03775,1.0722
1.01374,1.00188,1.05608,1.03775,1.07234
1.01365,1.00191,1.05603,1.03777,1.07253
1.01358,1.00193,1.05602,1.03782,1.07267
1.01349,1.00194,1.05603,1.03784,1.07277
1.0134,1.00197,1.05599,1.03786,1.07296
1.01328,1.00199,1.05593,1.03791,1.07317
1.01317,1.002,1.05596,1.03789,1.07325
1.0131,1.00204,1.05589,1.03797,1.07354
1.013,1.002,1.05638,1.03813,1.07283
1.0129,1.00198,1.05643,1.03816,1.07277
1.01282,1.00198,1.05645,1.03814,1.0728
1.01271,1.00199,1.05639,1.03825,1.07293
1.01262,1.00198,1.05645,1.03831,1.07288
1.01253,1.00199,1.05639,1.03843,1.07304
1.01242,1.00189,1.05713,1.03838,1.0718
1.01233,1.00188,1.05716,1.03847,1.07169
1.01222,1.00187,1.05715,1.03854,1.07163
1.01217,1.00186,1.05715,1.03862,1.07163
1.01207,1.00185,1.05713,1.03867,1.0716
1.012,1.00185,1.05713,1.03888,1.07159
1.01191,1.00184,1.05712,1.03901,1.07155
1.01182,1.00182,1.05713,1.03906,1.07149
1.01175,1.00181,1.05707,1.0392,1.07156
1.01166,1.0018,1.05703,1.03935,1.07156
1.01155,1.00175,1.0571,1.03932,1.07137
1.01146,1.00173,1.0571,1.03943,1.07133
1.01139,1.0017,1.05712,1.03955,1.0713
1.01131,1.00169,1.05708,1.0397,1.07138
1.01125,1.00167,1.05708,1.03983,1.0714
1.01118,1.00165,1.05706,1.03996,1.07145
1.01112,1.00163,1.05703,1.04013,1.07153
1.01107,1.0016,1.05707,1.04028,1.07151
1.01099,1.00163,1.05701,1.04043,1.07168
1.01094,1.0016,1.05706,1.04049,1.07165
1.01091,1.00157,1.05706,1.04062,1.07173
1.01085,1.00155,1.05706,1.04077,1.07178
1.01078,1.00153,1.05708,1.04086,1.07179
1.01069,1.00147,1.05733,1.04062,1.07138
1.01063,1.00145,1.05734,1.04073,1.07139
1.01058,1.00143,1.05733,1.04084,1.07145
1.01048,1.0014,1.05733,1.04091,1.07145
1.01045,1.00138,1.05729,1.041,1.07156
1.01038,1.00136,1.05729,1.04105,1.07158
1.0103,1.00131,1.05759,1.04116,1.07111
1.01023,1.00129,1.05755,1.04132,1.07114
1.01017,1.00128,1.0575,1.04143,1.07121
1.01012,1.00123,1.05766,1.04125,1.07095
1.01008,1.00121,1.05763,1.04135,1.071
1.01004,1.0012,1.05758,1.04151,1.0711
1.00997,1.00116,1.05773,1.04144,1.0708
1.00988,1.00112,1.05785,1.04176,1.0705
1.00979,1.00106,1.05815,1.04143,1.06989
1.00972,1.00102,1.05827,1.04115,1.06954
1.00967,1.00099,1.05825,1.04123,1.06946
1.00962,1.00097,1.05823,1.04126,1.06937
1.0096,1.00095,1.05825,1.04126,1.06928
1.00956,1.00095,1.05821,1.04131,1.06925
1.00952,1.00094,1.0582,1.04136,1.06918
1.00948,1.00092,1.05821,1.04139,1.06908
1.00943,1.00091,1.05821,1.04142,1.06899
1.0094,1.00091,1.05818,1.04146,1.06897
1.00935,1.00091,1.05817,1.0415,1.0689
1.00926,1.00091,1.05811,1.04146,1.06887
1.0092,1.00092,1.05808,1.04145,1.0688
1.00915,1.00092,1.05804,1.04147,1.06875
1.00911,1.00093,1.05794,1.04148,1.06884
1.00908,1.00094,1.05787,1.04156,1.06885
1.00899,1.00096,1.05779,1.0417,1.06884
1.00894,1.00096,1.05779,1.04173,1.06871
1.00888,1.00096,1.05781,1.04172,1.06857
1.00882,1.00096,1.05784,1.0418,1.06838
1.00873,1.00096,1.05785,1.04189,1.06821
1.00869,1.00096,1.05785,1.04199,1.06809
1.00863,1.00097,1.05781,1.04207,1.06802
1.00861,1.00099,1.0578,1.04207,1.06797
1.00853,1.00102,1.05769,1.04212,1.06802
1.00845,1.00105,1.05762,1.04214,1.06801
1.00838,1.00107,1.0576,1.04211,1.06793
1.00824,1.00123,1.05712,1.04263,1.06856
1.00819,1.00123,1.05704,1.04279,1.0685
1.00814,1.00122,1.05701,1.04281,1.06833
1.00811,1.0012,1.05703,1.04289,1.06815
1.00806,1.00118,1.05705,1.04291,1.06791
1.00799,1.00116,1.05711,1.04278,1.06763
1.00795,1.00114,1.05711,1.04275,1.06745
1.00787,1.00113,1.05706,1.04267,1.06732
1.00779,1.00112,1.05701,1.04276,1.0672
1.00773,1.00111,1.05698,1.04285,1.06707
1.00764,1.00109,1.05695,1.04276,1.06689
1.00757,1.00108,1.057,1.04273,1.06664
1.0075,1.00106,1.05699,1.04271,1.06646
1.00743,1.00103,1.057,1.04272,1.06625
1.00735,1.001,1.05707,1.04271,1.06595
1.00724,1.001,1.05706,1.04262,1.06577
1.00713,1.00097,1.05706,1.04259,1.06553
1.00703,1.00094,1.05713,1.04254,1.06522
1.00693,1.00091,1.05714,1.04251,1.065
1.00681,1.00089,1.05709,1.04259,1.06487
1.00671,1.00086,1.05712,1.04254,1.06464
1.00658,1.00086,1.05716,1.04245,1.0644
1.00647,1.00082,1.05722,1.04237,1.06414
1.00634,1.00081,1.05727,1.04231,1.06391
1.00621,1.00079,1.05734,1.04231,1.06363
1.00607,1.00076,1.05742,1.04219,1.06335
1.00591,1.00075,1.05743,1.04212,1.06317
1.00578,1.00071,1.05749,1.04212,1.06293
1.00568,1.00067,1.05758,1.04208,1.06269
1.00557,1.00063,1.05762,1.04204,1.06252
1.00546,1.00059,1.05769,1.04201,1.06232
1.00529,1.00056,1.05777,1.04198,1.06204
1.00516,1.00053,1.05779,1.04202,1.06188
1.00502,1.00049,1.05781,1.04207,1.06173
1.00489,1.00044,1.05784,1.04207,1.06155
1.00475,1.00043,1.05786,1.04203,1.06142
1.00463,1.00037,1.05794,1.04197,1.06118
1.00446,1.00035,1.05794,1.04197,1.06104
1.00429,1.00031,1.058,1.04194,1.06082
1.00415,1.00027,1.05796,1.04198,1.06075
1.00399,1.00024,1.05795,1.04202,1.06065
1.00386,1.00021,1.05794,1.04184,1.06057
1.00371,1.00015,1.05802,1.04175,1.06031
1.00354,1.00012,1.05798,1.04175,1.06022
1.00339,1.00007,1.05797,1.04179,1.06009
1.00323,1,1.05798,1.04171,1.0599
1.00309,0.99995,1.05795,1.04167,1.0598
1.00294,0.9999,1.05794,1.04168,1.05967
1.00284,0.99983,1.05796,1.04166,1.05954
1.00271,0.99978,1.05793,1.04161,1.05948
1.00258,0.99971,1.05797,1.04154,1.05929
1.00243,0.99965,1.05801,1.04151,1.05912
1.0023,0.9996,1.05803,1.04147,1.05899
1.00218,0.99954,1.058,1.04137,1.05897
1.00207,0.99948,1.05793,1.04142,1.05897
1.00193,0.99943,1.05793,1.04119,1.05887
1.00179,0.99937,1.05792,1.04114,1.05877
1.00166,0.99932,1.05796,1.04112,1.0586
1.00154,0.99925,1.05799,1.04108,1.05845
1.00141,0.99921,1.05801,1.04112,1.05835
1.0013,0.99916,1.05802,1.04116,1.05827
1.00119,0.99912,1.05805,1.04116,1.05821
1.00111,0.99907,1.05808,1.04119,1.05814
1.00103,0.99903,1.05806,1.04121,1.05817
1.00093,0.999,1.05812,1.04129,1.05806
1.00084,0.99896,1.05811,1.04139,1.05806
1.0007,0.99894,1.05811,1.04151,1.05801
1.00057,0.99893,1.05811,1.0415,1.05799
1.00045,0.9989,1.05814,1.04151,1.05789
1.00033,0.99888,1.0582,1.04149,1.05777
1.00018,0.99886,1.05823,1.04149,1.05768
1.00006,0.99884,1.05836,1.04148,1.05747
0.99994,0.99882,1.05836,1.0414,1.05745
0.99984,0.9988,1.05833,1.04145,1.05748
0.99975,0.99878,1.05835,1.04147,1.05746
